pallet,extrusion,layer_height,nn-formula,line,layer_width_intended,replicate,layer_width_measured,over-under
L2R,03,10,00,04,36,02,40.7,0
L2R,03,10,00,04,36,03,40.7,0
L2R,03,10,00,04,36,04,41.5,0
L2R,03,10,00,04,36,05,41.1,0
L2R,03,10,00,05,42,01,47.2,0
L2R,03,10,00,05,42,02,47.6,0
L2R,03,10,00,05,42,03,46.9,0
L2R,03,10,00,05,42,04,47.5,0
L2R,03,10,00,05,42,05,46.8,0
L2R,03,10,00,06,48,01,56.6,1
L2R,03,10,00,06,48,02,55.3,1
L2R,03,10,00,06,48,03,55.2,1
L2R,03,10,00,06,48,04,55,1
L2R,03,10,00,06,48,05,56.1,1
L2R,03,10,00,07,54,01,61.6,1
L2R,03,10,00,07,54,02,60.9,1
L2R,03,10,00,07,54,03,60.9,1
L2R,03,10,00,07,54,04,61.2,1
L2R,03,10,00,07,54,05,60.2,1
L2R,03,10,01,01,18,01,17.1,-1
L2R,03,10,01,01,18,02,17.4,-1
L2R,03,10,01,01,18,03,18.6,-1
L2R,03,10,01,01,18,04,18.9,-1
L2R,03,10,01,01,18,05,19.2,-1
L2R,03,10,01,02,24,01,26.4,0
L2R,03,10,01,02,24,02,26.9,0
L2R,03,10,01,02,24,03,26.8,0
L2R,03,10,01,02,24,04,27,0
L2R,03,10,01,02,24,05,26.8,0
L2R,03,10,01,03,30,01,34,0
L2R,03,10,01,03,30,02,33.6,0
L2R,03,10,01,03,30,03,33.7,0
L2R,03,10,01,03,30,04,33.8,0
L2R,03,10,01,03,30,05,33.7,0
L2R,03,10,01,04,36,01,41.9,0
L2R,03,10,01,04,36,02,41.5,0
L2R,03,10,01,04,36,03,41.2,0
L2R,03,10,01,04,36,04,41.7,0
L2R,03,10,01,04,36,05,41.6,0
L2R,03,10,01,05,42,01,47.9,0
L2R,03,10,01,05,42,02,48.3,0
L2R,03,10,01,05,42,03,48.4,0
L2R,03,10,01,05,42,04,48.1,0
L2R,03,10,01,05,42,05,48,0
L2R,03,10,01,06,48,01,55.6,0
L2R,03,10,01,06,48,02,54.5,0
L2R,03,10,01,06,48,03,55.5,0
L2R,03,10,01,06,48,04,55.2,0
L2R,03,10,01,06,48,05,55.6,0
L2R,03,10,01,07,54,01,62.6,1
L2R,03,10,01,07,54,02,62.3,1
L2R,03,10,01,07,54,03,64.4,1
L2R,03,10,01,07,54,04,63.1,1
L2R,03,10,01,07,54,05,63.7,1
L1R,03,12,00,01,18,01,16.8,-1
L1R,03,12,00,01,18,02,17.6,-1
L1R,03,12,00,01,18,03,18.7,-1
L1R,03,12,00,01,18,04,19.4,-1
L1R,03,12,00,01,18,05,19.5,-1
L1R,03,12,00,02,24,01,27,0
